App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
21763_4.0_hadoop_testparsesyncfolders,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21763_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21763_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
21759_4.0_hadoop_testparsezerobandwidth,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21759_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21759_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
21767_4.0_hadoop_testsourcelisting,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21767_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21767_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
21701_4.0_hadoop_testshouldcopyfalse,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21701_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21701_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false
21654_4.0_hadoop_testshouldcopy,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21654_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21654_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
32429_4.0_hadoop_testgetrelativepath,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32429_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32429_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
32433_4.0_hadoop_testpreservenothingondirectory,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32433_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32433_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
32447_4.0_hadoop_testpreserveonfileupwardrecursion,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32447_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32447_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
32442_4.0_hadoop_testpreserveuseronfile,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32442_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32442_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
32444_4.0_hadoop_testreplfactornotpreservedonerasurecodedfile,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32444_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/32444_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
