App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
8468_27.0_querydsl_list_sorted_ascending_limit_0,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8468_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8468_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8418_27.0_querydsl_list_sorted_by_year_ascending,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8418_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8418_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8439_27.0_querydsl_load_list_fieldselector,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8439_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8439_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8411_27.0_querydsl_notexists,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8411_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8411_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8444_27.0_querydsl_single_result_considers_limit_and_actual_result_size,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8444_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8444_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8446_27.0_querydsl_single_result_considers_offset,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8446_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8446_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8443_27.0_querydsl_single_result_takes_limit,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8443_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8443_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8442_27.0_querydsl_singleresult,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8442_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8442_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8459_27.0_querydsl_uniqueresult_finds_no_results_because_no_documents_in_index,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8459_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8459_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
8572_27.0_querydsl_between_empty_strings,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8572_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8572_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8522_27.0_querydsl_endswith,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8522_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8522_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8492_27.0_querydsl_eq,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8492_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8492_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8514_27.0_querydsl_eq_and_eq_not_does_not_find_results_because_second_expression_finds_nothing,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8514_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8514_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8509_27.0_querydsl_eq_phrase_does_not_find_results_because_word_in_middle,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8509_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8509_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8508_27.0_querydsl_eq_phrase_should_not_find_results_but_lucene_semantics_differs_from_querydsls,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8508_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8508_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8494_27.0_querydsl_fuzzylike,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8494_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8494_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8496_27.0_querydsl_fuzzylike_with_similarity_and_prefix,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8496_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8496_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8560_27.0_querydsl_goe_equal,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8560_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8560_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8486_27.0_querydsl_like,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8486_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8486_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8488_27.0_querydsl_like_custom_wildcard_multiple_character,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8488_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8488_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8548_27.0_querydsl_loe_not_found,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8548_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8548_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8544_27.0_querydsl_loe_numeric_double,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8544_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8544_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8538_27.0_querydsl_lt_numeric_double,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8538_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8538_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8537_27.0_querydsl_lt_numeric_integer,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8537_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8537_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8540_27.0_querydsl_lt_numeric_integer_not_in_range_because_equal,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8540_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8540_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8516_27.0_querydsl_not_equals_finds_none,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8516_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8516_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8507_27.0_querydsl_publisher_equals_empty_string,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8507_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8507_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
8578_27.0_querydsl_unsupportedoperation,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8578_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/8578_actual.java,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
