App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
13548_15.0_wro4j_cannotchecknullrequestasincluded,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13548_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13548_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false
13539_15.0_wro4j_cannotlocateinvalidlocation,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13539_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13539_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false
13543_15.0_wro4j_shouldreturnsresourceincludedbydispatcher,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13543_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13543_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false
13541_15.0_wro4j_testdispatchincludehasnovalidresource,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13541_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13541_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false
12221_15.0_wro4j_testwildcard1resources,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12221_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12221_actual.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
12180_15.0_wro4j_shouldfindwildcardresourcesforfoldercontainingspaces,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12180_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12180_actual.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
12177_15.0_wro4j_testwildcard2resources,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12177_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12177_actual.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
12208_15.0_wro4j_shouldfailwhenstandalonecontextisnotinitialized,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12208_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12208_actual.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
12211_15.0_wro4j_shouldlocatevalidresourcewhenmultiplecontextfoldersprovided,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12211_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12211_actual.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
12194_15.0_wro4j_cannotlocatemalformedurl,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12194_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12194_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12201_15.0_wro4j_shouldlocatewildcard3resources,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12201_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12201_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12203_15.0_wro4j_testwildcardusinginvalidresource,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12203_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/12203_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
13528_15.0_wro4j_shouldfindallchildfoldersandfiles,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13528_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13528_actual.java,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13533_15.0_wro4j_shouldgetjarfilefromfile,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13533_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13533_actual.java,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13524_15.0_wro4j_testlocatejarstreamdelegate,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13524_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13524_actual.java,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13410_15.0_wro4j_testcopyrightstripperprocessor,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13410_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13410_actual.java,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true
13400_15.0_wro4j_shouldthrowruntimeexceptionwhenprocessingfails,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13400_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13400_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13347_15.0_wro4j_testminimizeawaredecorator2,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13347_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13347_actual.java,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
13389_15.0_wro4j_cannotacceptobjectwhichisnotprocessor,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13389_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13389_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13387_15.0_wro4j_initvictim,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13387_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13387_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
13394_15.0_wro4j_shouldinvokeimportawareprocessor,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13394_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/13394_actual.java,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
