App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
44452_17.0_fastjson_test_list_in_3,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44452_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44452_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44365_17.0_fastjson_test_list_not_in,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44365_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44365_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44427_17.0_fastjson_test_list_like_contains,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44427_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44427_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44428_17.0_fastjson_test_list_like_match_two_segement,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44428_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44428_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44429_17.0_fastjson_test_list_like_match_two_segement_2,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44429_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44429_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44426_17.0_fastjson_test_list_like_right_match,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44426_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44426_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44398_17.0_fastjson_test_list_like_extract,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44398_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44398_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44400_17.0_fastjson_test_list_like_left_match,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44400_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44400_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44406_17.0_fastjson_test_list_like_match_two_segement,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44406_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44406_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44411_17.0_fastjson_test_list_like_match_two_segement_3_not,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44411_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44411_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44405_17.0_fastjson_test_list_like_not_contains,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44405_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44405_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44457_17.0_fastjson_test_list_like_left_match,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44457_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44457_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44460_17.0_fastjson_test_list_like_match_two_segement,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44460_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44460_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
